Date,OuncesPerShare,OuncesSold,ProceedsPerShare
6/30/2021,0.01904695,0.00000403,0.00717227
7/1/2021,0.01904695,,
7/2/2021,0.01904292,,
7/3/2021,0.01904292,,
7/4/2021,0.01904292,,
7/5/2021,0.01904292,,
7/6/2021,0.01904292,,
7/7/2021,0.01904292,,
7/8/2021,0.01904292,,
7/9/2021,0.01904292,,
7/10/2021,0.01904292,,
7/11/2021,0.01904292,,
7/12/2021,0.01904292,,
7/13/2021,0.01904292,,
7/14/2021,0.01904292,,
7/15/2021,0.01904294,,
7/16/2021,0.01904294,,
7/17/2021,0.01904294,,
7/18/2021,0.01904294,,
7/19/2021,0.01904294,,
7/20/2021,0.01904294,,
7/21/2021,0.01904294,,
7/22/2021,0.01904294,,
7/23/2021,0.01904294,,
7/24/2021,0.01904294,,
7/25/2021,0.01904294,,
7/26/2021,0.01904294,,
7/27/2021,0.01904294,,
7/28/2021,0.01904294,,
7/29/2021,0.01904293,,
7/30/2021,0.01904291,,
7/31/2021,0.01904291,0.00000402,0.00728297
8/1/2021,0.01904291,,
8/2/2021,0.01904291,,
8/3/2021,0.01903889,,
8/4/2021,0.01903889,,
8/5/2021,0.01903889,,
8/6/2021,0.01903889,,
8/7/2021,0.01903889,,
8/8/2021,0.01903889,,
8/9/2021,0.01903889,,
8/10/2021,0.01903889,,
8/11/2021,0.01903890,,
8/12/2021,0.01903890,,
8/13/2021,0.01903890,,
8/14/2021,0.01903890,,
8/15/2021,0.01903890,,
8/16/2021,0.01903890,,
8/17/2021,0.01903890,,
8/18/2021,0.01903890,,
8/19/2021,0.01903891,,
8/20/2021,0.01903891,,
8/21/2021,0.01903891,,
8/22/2021,0.01903891,,
8/23/2021,0.01903891,,
8/24/2021,0.01903891,,
8/25/2021,0.01903891,,
8/26/2021,0.01903891,,
8/27/2021,0.01903891,,
8/28/2021,0.01903891,,
8/29/2021,0.01903891,,
8/30/2021,0.01903891,,
8/31/2021,0.01903891,0.00000400,0.00723867
9/1/2021,0.01903891,,
9/2/2021,0.01903491,,
9/3/2021,0.01903491,,
9/4/2021,0.01903491,,
9/5/2021,0.01903491,,
9/6/2021,0.01903491,,
9/7/2021,0.01903491,,
9/8/2021,0.01903491,,
9/9/2021,0.01903491,,
9/10/2021,0.01903491,,
9/11/2021,0.01903491,,
9/12/2021,0.01903491,,
9/13/2021,0.01903491,,
9/14/2021,0.01903490,,
9/15/2021,0.01903490,,
9/16/2021,0.01903490,,
9/17/2021,0.01903490,,
9/18/2021,0.01903490,,
9/19/2021,0.01903490,,
9/20/2021,0.01903490,,
9/21/2021,0.01903490,,
9/22/2021,0.01903490,,
9/23/2021,0.01903490,,
9/24/2021,0.01903490,,
9/25/2021,0.01903490,,
9/26/2021,0.01903490,,
9/27/2021,0.01903490,,
9/28/2021,0.01903490,,
9/29/2021,0.01903490,,
9/30/2021,0.01903491,0.00000396,0.00696307
10/1/2021,0.01903491,,
10/2/2021,0.01903491,,
10/3/2021,0.01903491,,
10/4/2021,0.01903095,,
10/5/2021,0.01903095,,
10/6/2021,0.01903095,,
10/7/2021,0.01903095,,
10/8/2021,0.01903095,,
10/9/2021,0.01903095,,
10/10/2021,0.01903095,,
10/11/2021,0.01903095,,
10/12/2021,0.01903095,,
10/13/2021,0.01903095,,
10/14/2021,0.01903095,,
10/15/2021,0.01903095,,
10/16/2021,0.01903095,,
10/17/2021,0.01903095,,
10/18/2021,0.01903095,,
10/19/2021,0.01903095,,
10/20/2021,0.01903095,,
10/21/2021,0.01903095,,
10/22/2021,0.01903095,,
10/23/2021,0.01903095,,
10/24/2021,0.01903095,,
10/25/2021,0.01903095,,
10/26/2021,0.01903095,,
10/27/2021,0.01903095,,
10/28/2021,0.01903095,,
10/29/2021,0.01903095,,
10/30/2021,0.01903095,,
10/31/2021,0.01903095,0.00000401,0.00718503
11/1/2021,0.01903095,,
11/2/2021,0.01902695,,
11/3/2021,0.01902695,,
11/4/2021,0.01902695,,
11/5/2021,0.01902695,,
11/6/2021,0.01902695,,
11/7/2021,0.01902695,,
11/8/2021,0.01902695,,
11/9/2021,0.01902695,,
11/10/2021,0.01902695,,
11/11/2021,0.01902695,,
11/12/2021,0.01902695,,
11/13/2021,0.01902695,,
11/14/2021,0.01902695,,
11/15/2021,0.01902695,,
11/16/2021,0.01902695,,
11/17/2021,0.01902695,,
11/18/2021,0.01902695,,
11/19/2021,0.01902694,,
11/20/2021,0.01902694,,
11/21/2021,0.01902694,,
11/22/2021,0.01902694,,
11/23/2021,0.01902694,,
11/24/2021,0.01902694,,
11/25/2021,0.01902694,,
11/26/2021,0.01902694,,
11/27/2021,0.01902694,,
11/28/2021,0.01902694,,
11/29/2021,0.01902694,,
11/30/2021,0.01902694,0.00000397,0.00711082
12/1/2021,0.01902695,,
12/2/2021,0.01902297,,
12/3/2021,0.01902297,,
12/4/2021,0.01902297,,
12/5/2021,0.01902297,,
12/6/2021,0.01902297,,
12/7/2021,0.01902297,,
12/8/2021,0.01902297,,
12/9/2021,0.01902297,,
12/10/2021,0.01902297,,
